k,alfa,f1score
1,5,0.82109
1,10,0.951449
1,15,0.966362
1,20,0.966362
1,25,0.969432
1,30,0.975546
1,35,0.972493
1,40,0.975546
1,45,0.975546
1,50,0.975546
1,55,0.972493
1,60,0.96944
1,65,0.96944
1,70,0.96944
1,75,0.96944
1,80,0.96944
1,85,0.96944
1,90,0.96944
1,95,0.972493
1,100,0.972493
5,5,0.746201
5,10,0.879428
5,15,0.875244
5,20,0.896397
5,25,0.900146
5,30,0.908758
5,35,0.914682
5,40,0.920815
5,45,0.914687
5,50,0.920837
5,55,0.920837
5,60,0.920837
5,65,0.930039
5,70,0.93003
5,75,0.93003
5,80,0.93003
5,85,0.926969
5,90,0.926973
5,95,0.923893
5,100,0.92082
10,5,0.622049
10,10,0.76663
10,15,0.788564
10,20,0.807816
10,25,0.805274
10,30,0.825618
10,35,0.833408
10,40,0.833075
10,45,0.826712
10,50,0.833308
10,55,0.831593
10,60,0.822954
10,65,0.831506
10,70,0.825333
10,75,0.825338
10,80,0.834683
10,85,0.831117
10,90,0.831117
10,95,0.83089
10,100,0.834249
15,5,0.532634
15,10,0.666021
15,15,0.672325
15,20,0.723183
15,25,0.729396
15,30,0.731455
15,35,0.726439
15,40,0.735715
15,45,0.738292
15,50,0.752054
15,55,0.749391
15,60,0.737342
15,65,0.732131
15,70,0.732175
15,75,0.74182
15,80,0.732211
15,85,0.731434
15,90,0.725968
15,95,0.725269
15,100,0.717489
20,5,0.474719
20,10,0.630237
20,15,0.615639
20,20,0.676014
20,25,0.675762
20,30,0.680913
20,35,0.673206
20,40,0.689694
20,45,0.679998
20,50,0.671157
20,55,0.67743
20,60,0.663119
20,65,0.664884
20,70,0.66854
20,75,0.662723
20,80,0.663321
20,85,0.655351
20,90,0.658908
20,95,0.654119
20,100,0.659837
25,5,0.449052
25,10,0.602477
25,15,0.618109
25,20,0.646378
25,25,0.637428
25,30,0.640094
25,35,0.655954
25,40,0.657297
25,45,0.660837
25,50,0.663968
25,55,0.663156
25,60,0.667055
25,65,0.66357
25,70,0.661275
25,75,0.654961
25,80,0.655177
25,85,0.642188
25,90,0.633121
25,95,0.633053
25,100,0.63337
30,5,0.444143
30,10,0.550402
30,15,0.593073
30,20,0.588515
30,25,0.61546
30,30,0.625266
30,35,0.636126
30,40,0.634579
30,45,0.638181
30,50,0.647983
30,55,0.645871
30,60,0.648766
30,65,0.641011
30,70,0.636675
30,75,0.629151
30,80,0.625777
30,85,0.627529
30,90,0.625543
30,95,0.622196
30,100,0.622196
35,5,0.432567
35,10,0.526378
35,15,0.5627
35,20,0.578171
35,25,0.597664
35,30,0.609484
35,35,0.625175
35,40,0.616374
35,45,0.618656
35,50,0.620658
35,55,0.618923
35,60,0.619193
35,65,0.615924
35,70,0.610979
35,75,0.609359
35,80,0.601707
35,85,0.609928
35,90,0.602247
35,95,0.596808
35,100,0.593962
40,5,0.406244
40,10,0.516062
40,15,0.548096
40,20,0.565778
40,25,0.582128
40,30,0.606299
40,35,0.607061
40,40,0.604665
40,45,0.606931
40,50,0.599032
40,55,0.59214
40,60,0.591765
40,65,0.598904
40,70,0.594243
40,75,0.597686
40,80,0.590348
40,85,0.593791
40,90,0.593755
40,95,0.591317
40,100,0.58696
45,5,0.377438
45,10,0.517527
45,15,0.543206
45,20,0.559034
45,25,0.578429
45,30,0.607981
45,35,0.59514
45,40,0.59988
45,45,0.593403
45,50,0.598701
45,55,0.585356
45,60,0.583457
45,65,0.590539
45,70,0.584984
45,75,0.585182
45,80,0.581913
45,85,0.580977
45,90,0.581197
45,95,0.576052
45,100,0.571068
50,5,0.366127
50,10,0.500348
50,15,0.543783
50,20,0.562911
50,25,0.575635
50,30,0.591286
50,35,0.585171
50,40,0.592566
50,45,0.590354
50,50,0.588133
50,55,0.582361
50,60,0.575935
50,65,0.582805
50,70,0.569887
50,75,0.578202
50,80,0.574549
50,85,0.568893
50,90,0.562087
50,95,0.56782
50,100,0.568939
55,5,0.360683
55,10,0.496606
55,15,0.540293
55,20,0.549624
55,25,0.564928
55,30,0.580992
55,35,0.575472
55,40,0.58738
55,45,0.583236
55,50,0.580908
55,55,0.575926
55,60,0.568256
55,65,0.568393
55,70,0.569024
55,75,0.573509
55,80,0.568152
55,85,0.563486
55,90,0.55868
55,95,0.561831
55,100,0.553599
60,5,0.365
60,10,0.501617
60,15,0.531759
60,20,0.545572
60,25,0.555134
60,30,0.577332
60,35,0.574584
60,40,0.584404
60,45,0.57314
60,50,0.578008
60,55,0.566065
60,60,0.554071
60,65,0.554157
60,70,0.550064
60,75,0.554619
60,80,0.548631
60,85,0.547188
60,90,0.544471
60,95,0.550294
60,100,0.535926
65,5,0.362982
65,10,0.495576
65,15,0.535482
65,20,0.548499
65,25,0.555894
65,30,0.57807
65,35,0.579973
65,40,0.576029
65,45,0.572655
65,50,0.569326
65,55,0.563649
65,60,0.551528
65,65,0.554157
65,70,0.550064
65,75,0.554523
65,80,0.549367
65,85,0.547838
65,90,0.545252
65,95,0.545936
65,100,0.534746
70,5,0.354405
70,10,0.492534
70,15,0.536651
70,20,0.53562
70,25,0.554003
70,30,0.576089
70,35,0.570464
70,40,0.57416
70,45,0.571638
70,50,0.569402
70,55,0.567207
70,60,0.552634
70,65,0.552977
70,70,0.545292
70,75,0.552204
70,80,0.543735
70,85,0.544421
70,90,0.539225
70,95,0.541386
70,100,0.529674
75,5,0.349155
75,10,0.487856
75,15,0.532703
75,20,0.52955
75,25,0.560253
75,30,0.568747
75,35,0.570464
75,40,0.570961
75,45,0.568208
75,50,0.563448
75,55,0.560654
75,60,0.553233
75,65,0.552767
75,70,0.542039
75,75,0.552324
75,80,0.541257
75,85,0.539722
75,90,0.537131
75,95,0.540618
75,100,0.528906
80,5,0.345849
80,10,0.486304
80,15,0.529536
80,20,0.52955
80,25,0.560253
80,30,0.566088
80,35,0.567868
80,40,0.570961
80,45,0.562875
80,50,0.561263
80,55,0.557928
80,60,0.553279
80,65,0.55593
80,70,0.542086
80,75,0.552227
80,80,0.544275
80,85,0.542259
80,90,0.539599
80,95,0.540985
80,100,0.524052
85,5,0.345849
85,10,0.483638
85,15,0.524087
85,20,0.52955
85,25,0.551789
85,30,0.566088
85,35,0.561686
85,40,0.565187
85,45,0.562903
85,50,0.561288
85,55,0.552831
85,60,0.548686
85,65,0.550608
85,70,0.536873
85,75,0.552227
85,80,0.541538
85,85,0.54002
85,90,0.537433
85,95,0.538075
85,100,0.52388
90,5,0.342916
90,10,0.480405
90,15,0.521089
90,20,0.524232
90,25,0.548567
90,30,0.558141
90,35,0.559123
90,40,0.562733
90,45,0.563082
90,50,0.56099
90,55,0.555309
90,60,0.548224
90,65,0.548142
90,70,0.536873
90,75,0.547018
90,80,0.538816
90,85,0.53743
90,90,0.534717
90,95,0.535863
90,100,0.524634
95,5,0.342916
95,10,0.480405
95,15,0.521019
95,20,0.524377
95,25,0.545963
95,30,0.55827
95,35,0.559123
95,40,0.56286
95,45,0.560804
95,50,0.56099
95,55,0.555309
95,60,0.548351
95,65,0.550155
95,70,0.536883
95,75,0.543968
95,80,0.538109
95,85,0.536811
95,90,0.534091
95,95,0.535251
95,100,0.524002
100,5,0.340419
100,10,0.480405
100,15,0.521019
100,20,0.524377
100,25,0.545963
100,30,0.55827
100,35,0.559123
100,40,0.56286
100,45,0.560804
100,50,0.56099
100,55,0.555309
100,60,0.548351
100,65,0.550155
100,70,0.534312
100,75,0.543968
100,80,0.538237
100,85,0.536811
100,90,0.534091
100,95,0.532678
100,100,0.521429
